source,tp_bin_left,tp_bin_right,rows,hs_p50,hs_p95
nora3,1.5,2.0,197,0.04102908447384834,0.14418905386666664
nora3,2.0,2.5,519,0.17296950825000001,0.28202478691676425
nora3,2.5,3.0,1226,0.270488308379186,0.42037745571428575
nora3,3.0,3.5,1772,0.4293472358657275,0.6096510618925094
nora3,3.5,4.0,2085,0.6049556732177734,0.8549106295441894
nora3,4.0,4.5,1898,0.755845695734024,1.030720232920227
nora3,4.5,5.0,1344,0.855277725625,1.2379691839218134
nora3,5.0,5.5,970,0.752396252,1.4483280299720493
nora3,5.5,6.0,943,0.75426185131073,1.4759361386299132
nora3,6.0,6.5,704,0.8039496421428571,1.6554176628589632
nora3,6.5,7.0,567,0.757436708,1.7035264957473688
nora3,7.0,7.5,251,0.8598565333333332,1.915623962879181
nora3,7.5,8.0,317,0.9366157054901123,1.9217595714892577
nora3,8.0,8.5,174,0.7455545266666667,1.565387415885925
nora3,8.5,9.0,71,0.7949026322222221,2.143065631389618
nora3,9.0,9.5,108,0.6277598738670349,1.8476084035362992
nora3,9.5,10.0,66,0.6649639010429382,1.302406856546402
nora3,10.0,10.5,140,0.6006727107126109,1.1439419567584987
nora3,10.5,11.0,53,0.5703015923500061,1.53296695
nora3,11.0,11.5,68,0.7584498859941959,1.2429686725139617
nora3,11.5,12.0,20,0.7944256067276001,1.2801059126853944
nora3,12.0,12.5,38,1.041060119642857,1.479515269005356
nora3,12.5,13.0,12,0.6697515283333334,1.5563109304413603
nora3,13.5,14.0,8,0.9825420379638672,1.609724885718765
nora3,14.5,15.0,11,0.7174568772315979,1.618126897982679
nora3,15.5,16.0,7,0.7787742125,0.9711470955850067
fusion_v0,1.0,1.5,76,0.05488399975001812,0.0901986020617187
fusion_v0,1.5,2.0,304,0.12365401123339931,0.20806984211058238
fusion_v0,2.0,2.5,720,0.20898967567417356,0.3274859738018777
fusion_v0,2.5,3.0,1375,0.3199772909283638,0.4816808973163874
fusion_v0,3.0,3.5,1726,0.47665914540023857,0.6684520702110603
fusion_v0,3.5,4.0,2041,0.6475934866666666,0.8960000425577164
fusion_v0,4.0,4.5,1917,0.8030708795652173,1.0848994320931116
fusion_v0,4.5,5.0,1466,0.8659706371171134,1.2891335075255483
fusion_v0,5.0,5.5,1133,0.8043529793811852,1.465933076550359
fusion_v0,5.5,6.0,1010,0.79650003783172,1.5320000727660954
fusion_v0,6.0,6.5,750,0.8260000392328948,1.7363000824698245
fusion_v0,6.5,7.0,564,0.8064541758333332,1.7079250811220845
fusion_v0,7.0,7.5,322,1.000666714195783,2.0540000975597645
fusion_v0,7.5,8.0,341,0.9255850315093994,1.9953322285714286
fusion_v0,8.0,8.5,145,0.689000032725744,1.7502000831300393
fusion_v0,8.5,9.0,78,0.8164762292567286,2.2293120591202737
fusion_v0,9.0,9.5,88,0.5811070054409275,1.8132823300361258
fusion_v0,9.5,10.0,90,0.662582665681839,1.3010300617956088
fusion_v0,10.0,10.5,166,0.6254879618063569,1.3300000631716102
fusion_v0,10.5,11.0,73,0.8510000404203311,1.4470970347222214
fusion_v0,11.0,11.5,56,0.7430000352906063,1.2838400818582159
fusion_v0,11.5,12.0,50,0.9476667116784181,1.4586000692797818
fusion_v0,12.0,12.5,24,0.8791811863928223,1.328730832342094
fusion_v0,12.5,13.0,15,0.6060000287834555,0.9980905235972298
fusion_v0,13.0,13.5,5,0.5570000264560804,0.6750196399048483
fusion_v0,13.5,14.0,22,0.5803333608976875,1.0735381462284186
fusion_v0,14.0,14.5,5,1.0373333826040227,1.2490000593243167
fusion_v0,14.5,15.0,18,0.7170000340556726,1.1726160204426073
fusion_v0,15.0,15.5,8,0.5845000277622603,0.6293000298901461
fusion_v0,15.5,16.0,12,0.6061666954580385,0.6992500332125928
