country,sea_basin,farm_count,farm_month_count,observed_source_months,skipped_missing_source_months,observed_zero_months,ais_dwell_event_count,tier_a_count,tier_b_count,tier_c_count,tier_d_count,wave_available_months,wind_speed_available_months,wind_direction_available_months,current_available_months,bathymetry_available_months,scada_validation_available_months,vessel_metadata_available_months,median_high_confidence_assignment_share,median_top_mmsi_concentration,coverage_share,missing_source_share,observed_zero_share
Denmark,Baltic,10,1920,1800,120,830,36782.0,3002.0,573.0,405.0,32802.0,1749,964,0,0,1920,0,0,0.23076923076923078,0.3333333333333333,0.9375,0.0625,0.46111111111111114
Germany,Baltic,6,1508,1386,122,740,8968.0,3983.0,340.0,577.0,4068.0,909,644,0,0,1508,0,0,0.1694915254237288,0.5,0.9190981432360743,0.08090185676392574,0.5339105339105339
Sweden,Baltic,1,192,180,12,89,450.0,310.0,0.0,5.0,135.0,182,88,0,0,192,0,0,1.0,1.0,0.9375,0.0625,0.49444444444444446
Belgium,North Sea,10,1920,1800,120,1694,449.0,94.0,25.0,51.0,279.0,1126,88,0,12,1920,0,0,0.2,0.6666666666666666,0.9375,0.0625,0.9411111111111111
Denmark,North Sea,7,1344,1260,84,595,26747.0,2197.0,61.0,229.0,24260.0,827,652,0,220,1344,0,0,0.125,0.25,0.9375,0.0625,0.4722222222222222
Germany,North Sea,24,4608,4320,288,3019,16090.0,4578.0,1114.0,883.0,9515.0,2559,1185,49,1059,4608,39,0,0.16666666666666666,0.5,0.9375,0.0625,0.6988425925925926
Netherlands,North Sea,8,1536,1440,96,1299,709.0,78.0,46.0,66.0,519.0,793,132,0,48,1536,0,0,0.15789473684210525,0.5,0.9375,0.0625,0.9020833333333333
United Kingdom,North Sea,44,8448,7920,528,7425,2978.0,1210.0,184.0,152.0,1432.0,5370,459,0,132,8448,0,0,0.3904761904761905,0.5,0.9375,0.0625,0.9375
France,other,3,576,540,36,530,14.0,0.0,2.0,6.0,6.0,70,10,0,0,576,0,0,,1.0,0.9375,0.0625,0.9814814814814815
