current_group,event_count,share_of_all,tier_a_event_count,unique_wind_farm,top_wind_farm,top_wind_farm_count,top_wind_farm_share,top_5_wind_farm_count,top_5_wind_farm_share,unique_audit_year,top_audit_year,top_audit_year_count,top_audit_year_share,top_5_audit_year_count,top_5_audit_year_share,unique_source_domain,top_source_domain,top_source_domain_count,top_source_domain_share,top_5_source_domain_count,top_5_source_domain_share
current_ready,16307,0.17598748111374918,5358,43,Horns_Rev_II,1286,0.07886183847427485,5283,0.3239713006684246,12,2024,13681,0.8389648617158275,15285,0.9373275280554363,4,wave=nws; wind=NORA3; current=NWS,12066,0.7399276384374809,16307,1.0
current_missing,76353,0.8240125188862508,9906,112,Middelgrunden,15023,0.19675716736735951,53047,0.6947598653621992,13,2024,35982,0.4712584967191859,54876,0.7187143923617932,7,wave=nws; wind=NORA3; current=missing_current,33628,0.4404280119969091,72063,0.9438136026089348
