tp_bin,count,median_hs,boundary_hs,max_hs
"(0, 3]",57,0.17151541136363635,0.3864938734387572,0.4232504069805145
"(3, 4]",215,0.520916223526001,0.719826778769493,0.8946883082389832
"(4, 5]",177,0.73550257,1.0923713466666665,1.320332008695652
"(5, 6]",60,1.1205103306129456,1.604365311543478,1.6474606495652173
"(6, 7]",5,0.6603344082832336,0.8208366751670837,0.8399444222450256
"(7, 8]",7,0.6739382863636363,1.4648341371388112,1.5552356347826088
"(8, 10]",1,0.14389948546886444,0.14389948546886444,0.14389948546886444
"(10, 15]",0,,,
