lane_id,lane_role,depth_scope,feature,feature_column,unit,tier_a_event_count,complete_count,missing_count,min,p05,p25,median,p75,p95,max
wave_only,primary,all_tier_a,hs,selected_hs_mean,m,14606,14606,0,0.0,0.144000006839633,0.36900764446666773,0.5987558662891388,0.8718495474274282,1.314000062411651,4.846285944471934
wave_only,primary,all_tier_a,tp,selected_tp_mean,s,14606,14606,0,1.3678825944662094,2.3751888126134872,3.355787691071429,4.289999904111028,5.599999874830246,8.40499981213361,18.805078506469727
wave_only,primary,depth_warning_excluded,hs,selected_hs_mean,m,12132,12132,0,0.0010000000474974513,0.185478667110734,0.4087823079208565,0.6426666971916953,0.9140000434126705,1.3573500644706649,4.846285944471934
wave_only,primary,depth_warning_excluded,tp,selected_tp_mean,s,12132,12132,0,1.3678825944662094,2.579999942332506,3.5584092140197754,4.429999900981784,5.724999872036278,8.442249811301002,18.805078506469727
wave_only,primary,depth_warning_only,hs,selected_hs_mean,m,2474,2474,0,0.0,0.052628861587500006,0.22670839623415667,0.42000001994892955,0.636000030208379,0.9970246692464436,1.7250500819354784
wave_only,primary,depth_warning_only,tp,selected_tp_mean,s,2474,2474,0,1.4263814687728882,1.8731449549514771,2.6248948415120443,3.3247992811100007,4.305062401884546,8.356999813206492,17.69999960437417
wave_wind_speed,primary,all_tier_a,hs,selected_hs_mean,m,13668,13668,0,0.0,0.1393859125673771,0.36167301286901476,0.5900126377617481,0.8585874491982395,1.292000061366707,4.846285944471934
wave_wind_speed,primary,all_tier_a,tp,selected_tp_mean,s,13668,13668,0,1.3678825944662094,2.356009965440674,3.3157622814178467,4.2078187465667725,5.52541654316398,8.40499981213361,18.805078506469727
wave_wind_speed,primary,all_tier_a,wind_speed,wind_speed_mean,m/s,13668,13668,0,0.23,2.330388888888889,4.228428571428571,5.842678571428571,7.591333333333334,9.88,18.223478260869566
wave_wind_speed,primary,depth_warning_excluded,hs,selected_hs_mean,m,11257,11257,0,0.0010000000474974513,0.17909795952341462,0.401000019046478,0.6308737546205521,0.8970000426052138,1.3366017432093493,4.846285944471934
wave_wind_speed,primary,depth_warning_excluded,tp,selected_tp_mean,s,11257,11257,0,1.3678825944662094,2.5537134885787967,3.534722328186035,4.349999902769923,5.664999873377383,8.47999981045723,18.805078506469727
wave_wind_speed,primary,depth_warning_excluded,wind_speed,wind_speed_mean,m/s,11257,11257,0,0.23,2.316533333333333,4.25,5.842857142857143,7.583333333333333,9.871221052631574,18.223478260869566
wave_wind_speed,primary,depth_warning_only,hs,selected_hs_mean,m,2411,2411,0,0.0,0.053713009157431185,0.22625001074629836,0.41884254,0.6363333635575448,0.9973333807041248,1.7250500819354784
wave_wind_speed,primary,depth_warning_only,tp,selected_tp_mean,s,2411,2411,0,1.4263814687728882,1.87280259034729,2.6199999414384365,3.326666592309872,4.29999990388751,8.111666485356787,17.69999960437417
wave_wind_speed,primary,depth_warning_only,wind_speed,wind_speed_mean,m/s,2411,2411,0,0.8227272727272728,2.3971428571428572,4.124927536231883,5.839130434782609,7.6242857142857146,9.93,13.790000000000001
wave_current,restricted_current_sensitivity,all_tier_a,hs,selected_hs_mean,m,5308,5308,0,0.08800000417977571,0.29700001410674304,0.51400002441369,0.760000036098063,1.037000049254857,1.4763250701216746,4.846285944471934
wave_current,restricted_current_sensitivity,all_tier_a,tp,selected_tp_mean,s,5308,5308,0,1.81999995931983,3.299999926239252,4.3549999026581645,5.289999881759286,6.417187356564682,9.879999779164791,17.184999615885317
wave_current,restricted_current_sensitivity,all_tier_a,current_speed,current_speed_mean,m/s,5308,5308,0,0.001037566051942074,0.030744604785596933,0.082220798803945,0.15144324671763643,0.2721496879947952,0.5068991302039381,0.9707945660783172
wave_current,restricted_current_sensitivity,depth_warning_excluded,hs,selected_hs_mean,m,5299,5299,0,0.08800000417977571,0.29700001410674304,0.51400002441369,0.760000036098063,1.0368333825802742,1.4760500701086128,4.846285944471934
wave_current,restricted_current_sensitivity,depth_warning_excluded,tp,selected_tp_mean,s,5299,5299,0,1.81999995931983,3.2996665929133693,4.3549999026581645,5.289999881759286,6.416458189914314,9.880999779142433,17.184999615885317
wave_current,restricted_current_sensitivity,depth_warning_excluded,current_speed,current_speed_mean,m/s,5299,5299,0,0.001037566051942074,0.03070278759253071,0.08222658036683575,0.15151245027676188,0.27210851774748984,0.506883859715688,0.9707945660783172
wave_current,restricted_current_sensitivity,depth_warning_only,hs,selected_hs_mean,m,9,9,0,0.42000001994892955,0.452000021468848,0.71800003410317,1.1240000533871353,1.3320000632666051,1.6108072193663765,1.7250500819354784
wave_current,restricted_current_sensitivity,depth_warning_only,tp,selected_tp_mean,s,9,9,0,3.7199999168515205,3.803999914973974,4.744999893940985,5.839999869465828,6.766214134477611,8.04299982022494,8.564999808557332
wave_current,restricted_current_sensitivity,depth_warning_only,current_speed,current_speed_mean,m/s,9,9,0,0.034300208305000676,0.03657521950846205,0.04777074343554655,0.12648135344660083,0.3019526596359079,0.5005237970953382,0.6104424914755701
wave_wind_current,restricted_current_sensitivity,all_tier_a,hs,selected_hs_mean,m,4552,4552,0,0.08800000417977571,0.29533334736091393,0.5100000242237002,0.7495123678115443,1.026000048732385,1.4464500687026882,4.846285944471934
wave_wind_current,restricted_current_sensitivity,all_tier_a,tp,selected_tp_mean,s,4552,4552,0,1.81999995931983,3.2599999271333218,4.296666570628683,5.279999881982803,6.419999856501818,10.152473202368164,17.184999615885317
wave_wind_current,restricted_current_sensitivity,all_tier_a,wind_speed,wind_speed_mean,m/s,4552,4552,0,0.23,2.37,4.3808333333333325,5.770729885057471,7.617187500000001,9.876057142857142,18.223478260869566
wave_wind_current,restricted_current_sensitivity,all_tier_a,current_speed,current_speed_mean,m/s,4552,4552,0,0.0034176829380662007,0.03259561141165701,0.08692197778175953,0.16138416004606582,0.28107037696034254,0.5112670776965927,0.9707945660783172
wave_wind_current,restricted_current_sensitivity,depth_warning_excluded,hs,selected_hs_mean,m,4543,4543,0,0.08800000417977571,0.29533334736091393,0.5100000242237002,0.749000035575591,1.0247857629604238,1.4458000686718144,4.846285944471934
wave_wind_current,restricted_current_sensitivity,depth_warning_excluded,tp,selected_tp_mean,s,4543,4543,0,1.81999995931983,3.2599999271333218,4.296666570628683,5.279999881982803,6.419999856501818,10.152473404736329,17.184999615885317
wave_wind_current,restricted_current_sensitivity,depth_warning_excluded,wind_speed,wind_speed_mean,m/s,4543,4543,0,0.23,2.37,4.380555555555555,5.7700000000000005,7.609999999999999,9.878114285714284,18.223478260869566
wave_wind_current,restricted_current_sensitivity,depth_warning_excluded,current_speed,current_speed_mean,m/s,4543,4543,0,0.0034176829380662007,0.032585410613193165,0.08694635067078904,0.16143497909587615,0.28076214171699393,0.511231526750332,0.9707945660783172
wave_wind_current,restricted_current_sensitivity,depth_warning_only,hs,selected_hs_mean,m,9,9,0,0.42000001994892955,0.452000021468848,0.71800003410317,1.1240000533871353,1.3320000632666051,1.6108072193663765,1.7250500819354784
wave_wind_current,restricted_current_sensitivity,depth_warning_only,tp,selected_tp_mean,s,9,9,0,3.7199999168515205,3.803999914973974,4.744999893940985,5.839999869465828,6.766214134477611,8.04299982022494,8.564999808557332
wave_wind_current,restricted_current_sensitivity,depth_warning_only,wind_speed,wind_speed_mean,m/s,9,9,0,2.9125,2.958,5.664782608695653,7.7700000000000005,8.58,9.23060112044818,9.37546218487395
wave_wind_current,restricted_current_sensitivity,depth_warning_only,current_speed,current_speed_mean,m/s,9,9,0,0.034300208305000676,0.03657521950846205,0.04777074343554655,0.12648135344660083,0.3019526596359079,0.5005237970953382,0.6104424914755701
high_confidence_multivariate,restricted_high_confidence_sensitivity,all_tier_a,hs,selected_hs_mean,m,3402,3402,0,0.09800000465475023,0.2985681959994095,0.5220000247936696,0.7640000362880528,1.0244286200863177,1.438375068319146,4.846285944471934
high_confidence_multivariate,restricted_high_confidence_sensitivity,all_tier_a,tp,selected_tp_mean,s,3402,3402,0,1.81999995931983,3.2671499269735067,4.239999905228615,5.14999988488853,6.169999862089753,8.11374981864355,13.666666361192862
high_confidence_multivariate,restricted_high_confidence_sensitivity,all_tier_a,wind_speed,wind_speed_mean,m/s,3402,3402,0,0.23,2.3905,4.3827380952380945,5.851742424242424,7.6852857142857145,9.802753623188407,18.223478260869566
high_confidence_multivariate,restricted_high_confidence_sensitivity,all_tier_a,current_speed,current_speed_mean,m/s,3402,3402,0,0.004880111215989876,0.03241167387336156,0.08728912121621943,0.16200343806028034,0.2839604343079287,0.5113496220299841,0.9707945660783172
high_confidence_multivariate,restricted_high_confidence_sensitivity,depth_warning_excluded,hs,selected_hs_mean,m,3402,3402,0,0.09800000465475023,0.2985681959994095,0.5220000247936696,0.7640000362880528,1.0244286200863177,1.438375068319146,4.846285944471934
high_confidence_multivariate,restricted_high_confidence_sensitivity,depth_warning_excluded,tp,selected_tp_mean,s,3402,3402,0,1.81999995931983,3.2671499269735067,4.239999905228615,5.14999988488853,6.169999862089753,8.11374981864355,13.666666361192862
high_confidence_multivariate,restricted_high_confidence_sensitivity,depth_warning_excluded,wind_speed,wind_speed_mean,m/s,3402,3402,0,0.23,2.3905,4.3827380952380945,5.851742424242424,7.6852857142857145,9.802753623188407,18.223478260869566
high_confidence_multivariate,restricted_high_confidence_sensitivity,depth_warning_excluded,current_speed,current_speed_mean,m/s,3402,3402,0,0.004880111215989876,0.03241167387336156,0.08728912121621943,0.16200343806028034,0.2839604343079287,0.5113496220299841,0.9707945660783172
high_confidence_multivariate,restricted_high_confidence_sensitivity,depth_warning_only,hs,selected_hs_mean,m,0,0,0,,,,,,,
