source,tp_bin_left,tp_bin_right,rows,hs_p50,hs_p95
fusion_v0_all,1.0,1.5,76,0.05488399975001812,0.0901986020617187
fusion_v0_all,1.5,2.0,304,0.12365401123339931,0.20806984211058238
fusion_v0_all,2.0,2.5,720,0.20898967567417356,0.3274859738018777
fusion_v0_all,2.5,3.0,1375,0.3199772909283638,0.4816808973163874
fusion_v0_all,3.0,3.5,1726,0.47665914540023857,0.6684520702110603
fusion_v0_all,3.5,4.0,2041,0.6475934866666666,0.8960000425577164
fusion_v0_all,4.0,4.5,1917,0.8030708795652173,1.0848994320931116
fusion_v0_all,4.5,5.0,1466,0.8659706371171134,1.2891335075255483
fusion_v0_all,5.0,5.5,1133,0.8043529793811852,1.465933076550359
fusion_v0_all,5.5,6.0,1010,0.79650003783172,1.5320000727660954
fusion_v0_all,6.0,6.5,750,0.8260000392328948,1.7363000824698245
fusion_v0_all,6.5,7.0,564,0.8064541758333332,1.7079250811220845
fusion_v0_all,7.0,7.5,322,1.000666714195783,2.0540000975597645
fusion_v0_all,7.5,8.0,341,0.9255850315093994,1.9953322285714286
fusion_v0_all,8.0,8.5,145,0.689000032725744,1.7502000831300393
fusion_v0_all,8.5,9.0,78,0.8164762292567286,2.2293120591202737
fusion_v0_all,9.0,9.5,88,0.5811070054409275,1.8132823300361258
fusion_v0_all,9.5,10.0,90,0.662582665681839,1.3010300617956088
fusion_v0_all,10.0,10.5,166,0.6254879618063569,1.3300000631716102
fusion_v0_all,10.5,11.0,73,0.8510000404203311,1.4470970347222214
fusion_v0_all,11.0,11.5,56,0.7430000352906063,1.2838400818582159
fusion_v0_all,11.5,12.0,50,0.9476667116784181,1.4586000692797818
fusion_v0_all,12.0,12.5,24,0.8791811863928223,1.328730832342094
fusion_v0_all,12.5,13.0,15,0.6060000287834555,0.9980905235972298
fusion_v0_all,13.0,13.5,5,0.5570000264560804,0.6750196399048483
fusion_v0_all,13.5,14.0,22,0.5803333608976875,1.0735381462284186
fusion_v0_all,14.0,14.5,5,1.0373333826040227,1.2490000593243167
fusion_v0_all,14.5,15.0,18,0.7170000340556726,1.1726160204426073
fusion_v0_all,15.0,15.5,8,0.5845000277622603,0.6293000298901461
fusion_v0_all,15.5,16.0,12,0.6061666954580385,0.6992500332125928
fusion_v1_selected_all,1.5,2.0,272,0.0517482035,0.19638787119183687
fusion_v1_selected_all,2.0,2.5,726,0.1904875232590621,0.3069871512457861
fusion_v1_selected_all,2.5,3.0,1370,0.30084586268221536,0.45972269145306194
fusion_v1_selected_all,3.0,3.5,1808,0.4634243845939636,0.6500000308733433
fusion_v1_selected_all,3.5,4.0,2088,0.636189341545105,0.8830973085287648
fusion_v1_selected_all,4.0,4.5,1936,0.797416704541926,1.0740000510122627
fusion_v1_selected_all,4.5,5.0,1457,0.8504717946052551,1.2621544525027275
fusion_v1_selected_all,5.0,5.5,1125,0.8080000383779407,1.4620000694412738
fusion_v1_selected_all,5.5,6.0,1002,0.7951667044350568,1.5358440359749475
fusion_v1_selected_all,6.0,6.5,732,0.8350000396603718,1.7113429384272805
fusion_v1_selected_all,6.5,7.0,575,0.8080000383779407,1.7138150814018438
fusion_v1_selected_all,7.0,7.5,324,0.984379602400411,2.040450096916174
fusion_v1_selected_all,7.5,8.0,327,0.944000044837594,2.020987511251587
fusion_v1_selected_all,8.0,8.5,147,0.6900000327732414,1.8160500862577458
fusion_v1_selected_all,8.5,9.0,78,0.7793333703496803,2.1970120575861056
fusion_v1_selected_all,9.0,9.5,89,0.5822139833333334,1.7987529259683368
fusion_v1_selected_all,9.5,10.0,85,0.6500000308733433,1.3310800632229072
fusion_v1_selected_all,10.0,10.5,167,0.6228023767471313,1.3311000632238568
fusion_v1_selected_all,10.5,11.0,76,0.8250000391853973,1.430720129513889
fusion_v1_selected_all,11.0,11.5,57,0.7520000357180834,1.305356583740238
fusion_v1_selected_all,11.5,12.0,50,0.9490000450750813,1.4572000692132856
fusion_v1_selected_all,12.0,12.5,22,0.8791811863928223,1.2170383445195034
fusion_v1_selected_all,12.5,13.0,16,0.5858333611589235,0.9786905226757794
fusion_v1_selected_all,13.0,13.5,5,0.5520000262185931,0.674360816344144
fusion_v1_selected_all,13.5,14.0,21,0.5706666937718788,1.0608571932451534
fusion_v1_selected_all,14.0,14.5,6,1.0230000485898927,1.2460000591818243
fusion_v1_selected_all,14.5,15.0,19,0.7080000336281955,1.1929662553826341
fusion_v1_selected_all,15.0,15.5,7,0.45228573576813297,0.6275000298046507
fusion_v1_selected_all,15.5,16.0,11,0.6130000291159377,0.7065000335569493
fusion_v1_high_confidence,1.5,2.0,59,0.05866666945318381,0.20020000950898975
fusion_v1_high_confidence,2.0,2.5,282,0.18920563212088798,0.30443301567574954
fusion_v1_high_confidence,2.5,3.0,516,0.3005103121201197,0.46213267140168074
fusion_v1_high_confidence,3.0,3.5,772,0.4797925783528222,0.6455938400537706
fusion_v1_high_confidence,3.5,4.0,1016,0.6488134908803863,0.8681788444815299
fusion_v1_high_confidence,4.0,4.5,959,0.8169281408190727,1.0716000508982686
fusion_v1_high_confidence,4.5,5.0,737,0.8190772056579589,1.2396000588778404
fusion_v1_high_confidence,5.0,5.5,550,0.8190000389004126,1.3994600664707832
fusion_v1_high_confidence,5.5,6.0,520,0.7931667043400619,1.3997667331520154
fusion_v1_high_confidence,6.0,6.5,304,0.89850004267646,1.5522590799395266
fusion_v1_high_confidence,6.5,7.0,222,0.9457000449183397,1.7078056366719665
fusion_v1_high_confidence,7.0,7.5,170,0.9290000441251323,1.9181572339647184
fusion_v1_high_confidence,7.5,8.0,136,0.9973333807041247,1.8858816685219368
fusion_v1_high_confidence,8.0,8.5,39,0.71800003410317,1.8412921509487439
fusion_v1_high_confidence,8.5,9.0,22,1.2385000588255934,2.1641463714481484
fusion_v1_high_confidence,9.0,9.5,14,0.7135000338894315,1.3960000663064418
fusion_v1_high_confidence,9.5,10.0,17,0.6340000301133841,1.4766000701347366
fusion_v1_high_confidence,10.0,10.5,40,0.8601428979974506,1.461783402764316
fusion_v1_high_confidence,10.5,11.0,28,0.9086667098260175,1.201750057080062
fusion_v1_high_confidence,11.0,11.5,14,0.8380000398028642,1.307533395437834
fusion_v1_high_confidence,11.5,12.0,16,1.2110000575194135,1.441500068467576
fusion_v1_excluding_shallow,1.5,2.0,100,0.053164055333333335,0.1888497206020272
fusion_v1_excluding_shallow,2.0,2.5,401,0.18294867426156997,0.2980000141542405
fusion_v1_excluding_shallow,2.5,3.0,893,0.2904837314285715,0.45709064899988117
fusion_v1_excluding_shallow,3.0,3.5,1403,0.45830041000000005,0.6500000308733433
fusion_v1_excluding_shallow,3.5,4.0,1749,0.627000029780902,0.8880000421777368
fusion_v1_excluding_shallow,4.0,4.5,1730,0.7985833712640062,1.0826500514231154
fusion_v1_excluding_shallow,4.5,5.0,1381,0.85983285,1.2633333933384467
fusion_v1_excluding_shallow,5.0,5.5,1032,0.8236648158189499,1.470460069843102
fusion_v1_excluding_shallow,5.5,6.0,924,0.8059759118283789,1.5625372524073327
fusion_v1_excluding_shallow,6.0,6.5,669,0.8610000408953056,1.7452000828925522
fusion_v1_excluding_shallow,6.5,7.0,505,0.8360000397078693,1.7358972253078326
fusion_v1_excluding_shallow,7.0,7.5,306,1.0046667143857726,2.058750097785378
