farm_id,wave_confidence_class,rows
Middelgrunden,D_unsuitable,530
Moray East,A_high,1
Moray East,B_medium,11
Moray East,D_unsuitable,1
Moray West,B_medium,21
Moray West,D_unsuitable,4
Neart na Gaoithe,B_medium,16
Neart na Gaoithe,D_unsuitable,2
Nissum Bredning,C_low,8556
Nissum Bredning,D_unsuitable,2717
Nobelwind,A_high,3
Nobelwind,B_medium,8
Nobelwind,D_unsuitable,3
Nordergründe,B_medium,2
Nordergründe,C_low,74
Nordergründe,D_unsuitable,18
Nordsee One,A_high,253
Nordsee One,B_medium,138
Nordsee One,C_low,13
Nordsee One,D_unsuitable,8
Nordsee Ost,A_high,866
Nordsee Ost,B_medium,391
Nordsee Ost,C_low,94
Nordsee Ost,D_unsuitable,25
North Hoyle,A_high,12
North Hoyle,B_medium,12
North Hoyle,C_low,18
Norther,B_medium,77
Norther,D_unsuitable,15
Northwester 2,A_high,1
Northwester 2,B_medium,7
Northwester 2,D_unsuitable,4
Northwind,A_high,4
Northwind,B_medium,11
Northwind,D_unsuitable,1
Nysted,C_low,1089
Nysted,D_unsuitable,6
OWF Egmond aan Zee,A_high,13
OWF Egmond aan Zee,B_medium,10
OWF Egmond aan Zee,C_low,5
OWF Luchterduinen,A_high,10
OWF Luchterduinen,B_medium,43
OWF Luchterduinen,C_low,2
OWF Luchterduinen,D_unsuitable,12
OWF Prinses Amalia,A_high,17
OWF Prinses Amalia,B_medium,19
OWF Prinses Amalia,C_low,5
Ormonde,A_high,43
Ormonde,B_medium,4
Ormonde,C_low,1
Race Bank,A_high,4
Race Bank,B_medium,25
Race Bank,C_low,4
Rampion,B_medium,19
Rampion,D_unsuitable,2
Renland,C_low,10578
Renland,D_unsuitable,650
Rentel,A_high,1
Rentel,B_medium,77
Rentel,D_unsuitable,16
Rhyl Flats,A_high,5
Rhyl Flats,B_medium,4
Rhyl Flats,C_low,25
Riffgat,A_high,42
Riffgat,B_medium,41
Riffgat,C_low,9
Riffgat,D_unsuitable,9
Robin Rigg West,C_low,12
Rodsand II,A_high,258
Rodsand II,B_medium,84
Rodsand II,C_low,1152
Rodsand II,D_unsuitable,15
Saint-Brieuc,B_medium,4
Saint-Nazaire,B_medium,6
Samsa,A_high,97
Samsa,B_medium,24
Samsa,D_unsuitable,1
Sandbank,A_high,245
Sandbank,B_medium,102
Sandbank,C_low,28
Sandbank,D_unsuitable,8
Scroby Sands,A_high,1
Scroby Sands,B_medium,111
Scroby Sands,C_low,24
SeaStar,A_high,4
SeaStar,B_medium,12
SeaStar,D_unsuitable,2
Seagreen,A_high,2
Seagreen,B_medium,8
Sheringham Shoal,A_high,7
Sheringham Shoal,B_medium,126
Sheringham Shoal,C_low,2
Sheringham Shoal,D_unsuitable,39
Sprogo,A_high,58
Sprogo,B_medium,11
Sprogo,C_low,54
Sprogo,D_unsuitable,1
Teesside,B_medium,80
Teesside,C_low,4
Teesside,D_unsuitable,59
Thanet,A_high,21
Thanet,B_medium,8
Thanet,C_low,4
Thornton Bank - phase I,B_medium,71
Thornton Bank - phase I,D_unsuitable,9
Thornton Bank - phase II and III,B_medium,84
Thornton Bank - phase II and III,D_unsuitable,13
Trianel Windpark Borkum 1,B_medium,693
Trianel Windpark Borkum 1,D_unsuitable,207
Trianel Windpark Borkum 2,B_medium,537
Trianel Windpark Borkum 2,D_unsuitable,204
Triton Knoll,A_high,14
Triton Knoll,B_medium,16
Triton Knoll,C_low,3
Triton Knoll,D_unsuitable,1
Tunm Knob,C_low,56
Veja Mate,A_high,226
Veja Mate,B_medium,178
Veja Mate,C_low,25
Veja Mate,D_unsuitable,12
Vesterhav Nord,A_high,157
Vesterhav Nord,B_medium,171
Vesterhav Nord,C_low,38
Vesterhav Nord,D_unsuitable,23
Vesterhav Syd,A_high,192
Vesterhav Syd,B_medium,166
Vesterhav Syd,C_low,44
Vesterhav Syd,D_unsuitable,24
Walney 1,A_high,60
Walney 1,B_medium,11
Walney 1,C_low,1
Walney 2,A_high,51
Walney 2,B_medium,16
Walney 2,C_low,7
Walney Extension 3,B_medium,10
Walney Extension 3,D_unsuitable,3
Walney Extension 4,B_medium,59
Walney Extension 4,D_unsuitable,10
West of Duddon Sands,A_high,2
West of Duddon Sands,B_medium,31
West of Duddon Sands,D_unsuitable,4
Westermost Rough,A_high,2
Westermost Rough,B_medium,10
Westermost Rough,D_unsuitable,3
Wikinger,A_high,1111
Wikinger,B_medium,742
Wikinger,C_low,46
Wikinger,D_unsuitable,94
