source_pair,count,hs_r2,hs_rmse,hs_mae,hs_bias,hs_median_abs_diff,hs_p95_abs_diff,tp_r2,tp_rmse,tp_mae,tp_bias,tp_median_abs_diff,tp_p95_abs_diff,direction_count,direction_mae_deg,direction_p95_abs_diff_deg
nora3_vs_baltic,15493,0.905213495080073,0.10002340421594805,0.07424536600339285,-0.03736106959544027,0.05584439472129821,0.2100346042101938,0.6846465160918617,0.7515492711378322,0.5035072514074873,0.3656956748429013,0.35171543267154703,1.7047254702636718,15493,162.0440793991919,179.23796737385334
nora3_vs_nws,27924,0.9436188924214167,0.10424029254652839,0.07018573837169909,0.011635474842431468,0.04801849618428408,0.19802842518352426,0.6574191443958871,1.2846536042385912,0.601995891276199,0.06692296424274138,0.2690790429351573,2.266208222412347,27924,165.9855195203311,179.48749717090328
nws_vs_baltic,30735,0.9285437707636552,0.08646435266602713,0.0684998712567307,-0.04185376840960964,0.05746590832744833,0.1636200196458958,0.2762719748190769,1.1258760670679557,0.6209723396160339,0.47099420596187186,0.29557478158838224,2.1884543097444933,30735,20.067856305307224,90.77432619482279
