candidate,lat,lon,sector,share
Trianel Windpark Borkum 2,54.05,6.47,SE,0.08306822198656769
Trianel Windpark Borkum 2,54.05,6.47,S,0.11439554612937433
Trianel Windpark Borkum 2,54.05,6.47,SW,0.199341640155532
Trianel Windpark Borkum 2,54.05,6.47,W,0.20018115942028986
Trianel Windpark Borkum 2,54.05,6.47,NW,0.13651025097207495
Deutsche Bucht,54.3,5.79,N,0.048728813559322036
Deutsche Bucht,54.3,5.79,NE,0.01059322033898305
Deutsche Bucht,54.3,5.79,E,0.046610169491525424
Deutsche Bucht,54.3,5.79,SE,0.07627118644067797
Deutsche Bucht,54.3,5.79,S,0.14124293785310735
Deutsche Bucht,54.3,5.79,SW,0.2344632768361582
Deutsche Bucht,54.3,5.79,W,0.2930790960451977
Deutsche Bucht,54.3,5.79,NW,0.14901129943502825
Veja Mate,54.32,5.87,N,0.05014124293785311
Veja Mate,54.32,5.87,NE,0.01059322033898305
Veja Mate,54.32,5.87,E,0.046610169491525424
Veja Mate,54.32,5.87,SE,0.07980225988700565
Veja Mate,54.32,5.87,S,0.1327683615819209
Veja Mate,54.32,5.87,SW,0.2422316384180791
Veja Mate,54.32,5.87,W,0.2916666666666667
Veja Mate,54.32,5.87,NW,0.1461864406779661
Bard Offshore 1,54.36,5.98,N,0.04590395480225989
Bard Offshore 1,54.36,5.98,NE,0.013418079096045197
Bard Offshore 1,54.36,5.98,E,0.04590395480225989
Bard Offshore 1,54.36,5.98,SE,0.08050847457627118
Bard Offshore 1,54.36,5.98,S,0.13559322033898305
Bard Offshore 1,54.36,5.98,SW,0.2387005649717514
Bard Offshore 1,54.36,5.98,W,0.2867231638418079
Bard Offshore 1,54.36,5.98,NW,0.15324858757062146
Meerwind Sued/Ost,54.39,7.7,N,0.038135593220338986
Meerwind Sued/Ost,54.39,7.7,NE,0.019067796610169493
Meerwind Sued/Ost,54.39,7.7,E,0.0346045197740113
Meerwind Sued/Ost,54.39,7.7,SE,0.10663841807909605
Meerwind Sued/Ost,54.39,7.7,S,0.1327683615819209
Meerwind Sued/Ost,54.39,7.7,SW,0.25
Meerwind Sued/Ost,54.39,7.7,W,0.2605932203389831
Meerwind Sued/Ost,54.39,7.7,NW,0.15819209039548024
