analysis_label,farm_id,turbine_count,farm_commissioning_start_month,farm_commissioning_end_month,ramp_up_months,steady_operational_start_month,operational_start_month,operational_start_source,operational_window_known,total_manifest_months,pre_operational_manifest_months,commissioning_manifest_months,steady_manifest_months,unknown_phase_manifest_months,manifest_months,observed_months,observed_years,commissioning_observed_months,commissioning_observed_years,steady_observed_months,steady_observed_years,unknown_phase_observed_months,unknown_phase_observed_years,success_months,success_no_ais_in_bbox_months,skipped_missing_source_months,other_status_months,coverage_share,first_observed_month,last_observed_month,tier_a_visit_count,tier_b_visit_count,candidate_intervention_count,long_dwell_count,unique_vessel_count,pre_operational_candidate_count,commissioning_candidate_count,steady_candidate_count,unknown_phase_candidate_count,commissioning_long_dwell_count,steady_long_dwell_count,unknown_phase_long_dwell_count,candidate_date_missing_count,duplicate_adjustment_available,duplicate_candidate_row_count,duplicate_group_adjusted_candidate_count,commissioning_duplicate_adjusted_count,steady_duplicate_adjusted_count,unknown_phase_duplicate_adjusted_count,duplicate_adjustment_delta,candidate_interventions_per_observed_farm_year,long_dwell_interventions_per_observed_farm_year,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use
RQ9 farm-level maintenance intervention intensity,Barrow,30,2006-09,2006-09,6,2007-03,2006-09,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,16,164,12,0,0.9375,2010-01,2025-02,6,0,6,5,3,0,0,6,0,0,5,0,0,True,3,6.0,0.0,6.0,0.0,0.0,0.4,0.3333333333333333,,0.4,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Beatrice Offshore Wind Farm,84,2009-05,2009-05,6,2009-11,2009-05,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,24,156,12,0,0.9375,2010-01,2025-02,4,0,4,2,3,0,0,4,0,0,2,0,0,True,1,4.0,0.0,4.0,0.0,0.0,0.26666666666666666,0.13333333333333333,,0.26666666666666666,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Belwind phase 1,55,2010-12,2010-12,6,2011-06,2010-12,turbine_commissioning_date_range,True,192,11,6,175,0,181,169,14.083333333333334,6,0.5,163,13.583333333333334,0,0.0,25,144,12,0,0.9337016574585635,2010-12,2025-02,5,1,6,6,4,0,0,6,0,0,6,0,0,True,6,5.5,0.0,5.5,0.0,0.5,0.42603550295857984,0.42603550295857984,0.0,0.44171779141104295,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Blyth Demo Phase 1,5,2018-06,2018-06,6,2018-12,2018-06,turbine_commissioning_date_range,True,192,101,6,85,0,91,80,6.666666666666667,6,0.5,74,6.166666666666667,0,0.0,1,79,11,0,0.8791208791208791,2018-06,2025-02,0,0,0,0,0,3,0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_observed_zero,validation_required
RQ9 farm-level maintenance intervention intensity,Borkum Riffgrund 1,78,2015-10,2015-10,6,2016-04,2015-10,turbine_commissioning_date_range,True,192,69,6,117,0,123,111,9.25,6,0.5,105,8.75,0,0.0,68,43,12,0,0.9024390243902439,2015-10,2025-02,151,20,171,128,19,3,0,171,0,0,128,0,0,True,157,117.5,0.0,117.5,0.0,53.5,18.486486486486488,13.837837837837839,0.0,19.542857142857144,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Borkum Riffgrund 2,56,2018-12,2018-12,6,2019-06,2018-12,turbine_commissioning_date_range,True,192,107,6,79,0,85,74,6.166666666666667,6,0.5,68,5.666666666666667,0,0.0,54,20,11,0,0.8705882352941177,2018-12,2025-02,95,87,182,139,23,30,1,181,0,1,138,0,0,True,171,128.5,1.0,127.5,0.0,53.5,29.513513513513512,22.54054054054054,2.0,31.941176470588232,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Borssele Kavel I and II,94,2020-11,2020-11,6,2021-05,2020-11,turbine_commissioning_date_range,True,192,130,6,56,0,62,51,4.25,6,0.5,45,3.75,0,0.0,6,45,11,0,0.8225806451612904,2020-11,2025-02,0,1,1,1,1,2,0,1,0,0,1,0,0,True,1,0.5,0.0,0.5,0.0,0.5,0.23529411764705882,0.23529411764705882,0.0,0.26666666666666666,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Borssele Kavel III and IV,77,2021-01,2021-01,6,2021-07,2021-01,turbine_commissioning_date_range,True,192,132,6,54,0,60,49,4.083333333333333,6,0.5,43,3.5833333333333335,0,0.0,6,43,11,0,0.8166666666666667,2021-01,2025-02,3,0,3,2,2,1,0,3,0,0,2,0,0,True,3,2.5,0.0,2.5,0.0,0.5,0.7346938775510204,0.489795918367347,0.0,0.8372093023255813,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Burbo Bank,25,2007-10,2007-10,6,2008-04,2007-10,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,19,161,12,0,0.9375,2010-01,2025-02,12,0,12,12,3,0,0,12,0,0,12,0,0,True,6,12.0,0.0,12.0,0.0,0.0,0.8,0.8,,0.8,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Burbo Bank Extension,32,2017-04,2017-04,6,2017-10,2017-04,turbine_commissioning_date_range,True,192,87,6,99,0,105,94,7.833333333333333,6,0.5,88,7.333333333333333,0,0.0,7,87,11,0,0.8952380952380953,2017-04,2025-02,0,0,0,0,0,10,0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_observed_zero,validation_required
