analysis_label,farm_id,wind_farm,turbine_id,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,exposure_group,outer_ring_proxy,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,water_depth_m,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_year,turbine_age_band_at_observation_end,observed_steady_months,observed_steady_years,steady_coverage_share,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure,steady_high_event_count,steady_high_duplicate_adjusted_event_count,steady_high_unique_vessel_count,steady_high_repeat_visit_30d_count,steady_high_medium_event_count,steady_high_medium_duplicate_adjusted_event_count,steady_high_medium_unique_vessel_count,steady_high_medium_repeat_visit_30d_count,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,turbine_intervention_confidence_class
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::11,Germany,North Sea,germany_north_sea,54.4755,6.2334,inner_or_middle_proxy,False,1453.192578706291,0.4,40.19,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::12,Germany,North Sea,germany_north_sea,54.4963,6.2162,inner_or_middle_proxy,False,2040.89712915623,0.6666666666666666,40.46,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::13,Germany,North Sea,germany_north_sea,54.4951,6.2029,outer_exposed_proxy,True,2772.89979860859,0.9333333333333333,40.43,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::14,Germany,North Sea,germany_north_sea,54.4827,6.2334,inner_or_middle_proxy,False,823.663354677433,0.13333333333333333,40.19,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,1,1.0,1,0,2,2.0,1,0,0.2181818181818182,0.4363636363636364,medium_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::15,Germany,North Sea,germany_north_sea,54.4898,6.2111,inner_or_middle_proxy,False,2119.3375442932247,0.7333333333333333,40.3,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::16,Germany,North Sea,germany_north_sea,54.4837,6.2206,inner_or_middle_proxy,False,1534.0063072515036,0.4666666666666667,40.27,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,1,1.0,1,0,1,1.0,1,0,0.2181818181818182,0.2181818181818182,medium_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::17,Germany,North Sea,germany_north_sea,54.4971,6.2357,inner_or_middle_proxy,False,1218.195898804879,0.3333333333333333,40.42,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::18,Germany,North Sea,germany_north_sea,54.4954,6.2474,inner_or_middle_proxy,False,949.7245512364269,0.2,40.33,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,2,1.0,1,1,0.0,0.2181818181818182,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::19,Germany,North Sea,germany_north_sea,54.4661,6.2479,outer_exposed_proxy,True,2357.13027807755,0.8,40.07,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,3,3.0,1,0,0.0,0.6545454545454545,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::20,Germany,North Sea,germany_north_sea,54.4724,6.2586,inner_or_middle_proxy,False,1905.2156013872245,0.6,40.12,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,1,1.0,1,0,0.0,0.2181818181818182,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::21,Germany,North Sea,germany_north_sea,54.4868,6.2831,outer_exposed_proxy,True,2552.0765260065255,0.8666666666666667,40.23,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,2,2.0,1,0,0.0,0.4363636363636364,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::22,Germany,North Sea,germany_north_sea,54.4943,6.2972,outer_exposed_proxy,True,3552.3187437587235,1.0,40.29,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,1,0.5,1,0,2,1.5,2,0,0.1090909090909091,0.32727272727272727,medium_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::23,Germany,North Sea,germany_north_sea,54.4943,6.2698,inner_or_middle_proxy,False,1869.9818695644642,0.5333333333333333,40.2,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::24,Germany,North Sea,germany_north_sea,54.4932,6.2581,inner_or_middle_proxy,False,1153.4157131210475,0.26666666666666666,40.28,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,1,1.0,1,0,0.0,0.2181818181818182,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::25,Germany,North Sea,germany_north_sea,54.4819,6.2472,inner_or_middle_proxy,False,628.5349435063854,0.0,40.15,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::26,Germany,North Sea,germany_north_sea,54.4898,6.2349,inner_or_middle_proxy,False,634.1435055222621,0.06666666666666667,40.31,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020,3_to_7_years,55,4.583333333333333,0.8333333333333334,medium_coverage,True,True,False,0,0.0,0,0,0,0.0,0,0,0.0,0.0,medium_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::27,Germany,North Sea,germany_north_sea,54.0003,6.6072,inner_or_middle_proxy,False,1185.0472319024136,0.5454545454545454,27.3,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,0,0.0,0,0,1,1.0,1,0,0.0,0.07017543859649122,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::28,Germany,North Sea,germany_north_sea,54.0217,6.6183,outer_exposed_proxy,True,1421.5024068569614,0.8181818181818182,28.89,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,0,0.0,0,0,1,1.0,1,0,0.0,0.07017543859649122,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::29,Germany,North Sea,germany_north_sea,54.0143,6.6063,inner_or_middle_proxy,False,372.79299229027606,0.0,28.58,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,2,2.0,1,0,12,12.0,2,9,0.14035087719298245,0.8421052631578947,high_observed_signal
