analysis_label,subset,tp_bin,count,hs_p50,hs_p75,hs_p90,hs_p95,hs_min,hs_max
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(0, 3]",1942,0.2234366955,0.30113589400000007,0.37035511612500005,0.4038550705714285,0.022442135959863663,0.5879131555557251
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(3, 4]",3857,0.5052303075790405,0.6277451515197754,0.7371151811111111,0.8030315756797789,0.03095550835132599,1.0904392004013062
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(4, 5]",3242,0.7837906297263082,0.9386633783578873,1.0705242641250001,1.156343556079374,0.0374371225,1.7382380999999998
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(5, 6]",1913,0.7542466521263123,1.06737372,1.3166527361332194,1.4632463216781613,0.04755070028571429,2.0908208758620686
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(6, 7]",1271,0.7777942,1.0695030024999999,1.3734017428571428,1.6822542976590364,0.06163901714285713,3.0346584
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(7, 8]",568,0.9037415875878252,1.2337581622016995,1.735391331666667,1.92518521252655,0.16694449173913045,2.862468075
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(8, 10]",419,0.6870054071428571,1.1191492080688477,1.3394821405410766,1.7389916062355009,0.12923702597618103,3.739433526992798
Provisional NORA3-derived Tier A wave-only observed operational envelope,primary_tier_a,"(10, 15]",351,0.6714166766666667,0.9332262575626373,1.26185465,1.4330261516586305,0.1066484,4.995802879333496
