sea_basin,all_dwell_events,all_dwell_unique_mmsi,all_dwell_events_per_mmsi_median,all_dwell_top5_mmsi_share,high_confidence_events,high_confidence_unique_mmsi,high_confidence_events_per_mmsi_median,high_confidence_top5_mmsi_share,all_dwell_duration_median_min,all_dwell_duration_p25_min,all_dwell_duration_p75_min,all_dwell_share_le_60min,all_dwell_share_le_120min,high_confidence_duration_median_min,tier_a_assignment_high_share,tier_a_assignment_high_medium_share,vessel_category_enriched_non_null_share,access_technology_non_null_share,registry_source_non_null_share,registry_match_confidence_non_null_share,vessel_length_m_non_null_share
Baltic,45673,4489,2.0,0.10001532634160226,1733,129,2.0,0.3848817080207732,425.9,120.48333333333333,1236.8333333333333,0.08263087600989644,0.24898736671556498,459.03333333333336,0.3312308868501529,0.8386850152905199,0.0,0.0,0.0,0.0,0.0
North Sea,46973,3126,3.0,0.08400570540523279,1719,286,2.0,0.18615474112856312,501.45,183.25,1437.1333333333334,0.06552700487514104,0.1736103719157814,410.51666666666665,0.2757901492058399,0.7750681854644633,0.0,0.0,0.0,0.0,0.0
