sea_basin,farm_count,turbine_count,observed_steady_turbine_years,high_confidence_steady_tier_a_event_count,high_confidence_steady_tier_a_duplicate_adjusted_event_count,high_medium_steady_tier_a_event_count,high_medium_steady_tier_a_duplicate_adjusted_event_count,high_confidence_intervention_intensity_per_turbine_year,high_medium_intervention_intensity_per_turbine_year,zero_event_turbine_share_high_confidence,high_coverage_zero_event_turbine_share,largest_farm_by_high_events,largest_farm_high_event_count,largest_farm_high_event_share,top2_farms_by_high_events,top2_farms_high_event_count,top2_farms_high_event_share,largest_oem_by_high_events,largest_oem_high_event_count,largest_oem_high_event_share,largest_country_by_high_events,largest_country_high_event_count,largest_country_high_event_share,unique_mmsi_count_all_dwell,unique_mmsi_count_high_confidence,all_dwell_event_count,tier_a_all_dwell_event_count,tier_b_all_dwell_event_count,tier_c_all_dwell_event_count,tier_d_all_dwell_event_count,tier_a_share_all_dwell,tier_b_share_all_dwell,tier_c_share_all_dwell,tier_d_share_all_dwell,top1_vessel_by_high_events,top1_vessel_high_event_count,top1_vessel_high_event_share,top5_vessels_by_high_events,top5_vessels_high_event_count,top5_vessels_high_event_share,median_dwell_duration_min_all_tiers,p10_dwell_duration_min_all_tiers,p90_dwell_duration_min_all_tiers,share_dwell_duration_le_60min,share_dwell_duration_le_120min,vessel_length_non_null_share,median_vessel_length_m,tier_a_high_assignment_share,tier_a_high_medium_assignment_share
Baltic,17,755,6987.666666666667,1733,1732.5,4388,4385.0,0.24793684110098743,0.6275342269713304,0.3072847682119205,0.2623762376237624,Lillgrund,269,0.15522215810732834,Lillgrund; Rodsand_II,509,0.2937103289094057,Siemens,1034,0.5966532025389498,Denmark,965,0.5568378534333526,4489,129,45673,7107,869,963,36734,0.15560615681036938,0.019026558360519343,0.021084667089965627,0.8042826177391457,219016663,216,0.12463935372186959,219016663; 219009338; 219028973; 219018788; 219016747,667,0.3848817080207732,425.9,64.83333333333333,1439.8333333333333,0.08263087600989644,0.24898736671556498,0.0,,0.3312308868501529,0.8386850152905199
North Sea,99,5555,43293.33333333333,1719,1699.6666666666665,4831,4745.333333333333,0.03925931629196181,0.10960886972590084,0.8475247524752475,0.8093198992443325,Horns_Rev_I,242,0.14077952297847585,Horns_Rev_I; Horns_Rev_II,391,0.22745782431646305,Siemens,881,0.5125072716695753,Germany,1054,0.6131471785922048,3126,286,46973,8157,1430,1381,36005,0.1736529495667724,0.0304430204585613,0.02939986800928193,0.7665041619653844,218319000,83,0.048283885980221056,218319000; 219014012; 219032199; 244834000; 219019936,320,0.18615474112856312,501.45,74.40666666666667,1582.5933333333344,0.06552700487514104,0.1736103719157814,0.0,,0.2757901492058399,0.7750681854644633
