control_name,control_value,control_columns,baltic_turbines,north_sea_turbines,baltic_farms,north_sea_farms,baltic_years,north_sea_years,baltic_high_events,north_sea_high_events,baltic_high_medium_events,north_sea_high_medium_events,baltic_primary_intensity,north_sea_primary_intensity,primary_baltic_to_north_sea_ratio,baltic_sensitivity_intensity,north_sea_sensitivity_intensity,sensitivity_baltic_to_north_sea_ratio,baltic_zero_event_share,north_sea_zero_event_share,baltic_dominant_farm_by_events,baltic_dominant_farm_event_share,north_sea_dominant_farm_by_events,north_sea_dominant_farm_event_share,either_side_farm_dominated,both_sides_100_turbine_years,interpretation_flag
OEM,Adwen,oem_group,70,126,1,3,408.33333333333326,1145.4999999999995,161.0,62.5,719.0,222.5,0.39428571428571435,0.054561326931471,7.226468571428569,1.7608163265306125,0.19423832387603673,9.065236413666588,0.34285714285714286,0.6825396825396826,Wikinger,1.0,Global Tech I,0.608,True,True,farm_dominated_or_too_few_farms
OEM,Siemens,oem_group,414,2194,8,34,4524.25,21538.166666666668,1033.5,867.6666666666666,2648.5,2546.1666666666665,0.22843565231806376,0.04028507533138846,5.670478469729363,0.585400895175996,0.11821649939255119,4.951939011762702,0.2318840579710145,0.8067456700091158,Lillgrund,0.2602805999032414,Horns Rev II,0.17172493276988088,False,True,usable_controlled_contrast
OEM,Siemens Gamesa,oem_group,72,1282,1,20,210.00000000000003,4452.916666666666,199.0,85.5,358.0,277.66666666666663,0.9476190476190475,0.01920089828763919,49.35284971688479,1.7047619047619045,0.06235613362028633,27.33912136283084,0.1388888888888889,0.9539781591263651,Kriegers Flak,1.0,Vesterhav Syd,0.3742690058479532,True,True,farm_dominated_or_too_few_farms
OEM,Vestas,oem_group,96,1563,5,32,300.08333333333337,12830.416666666668,61.0,387.5,128.0,943.0,0.2032768675367953,0.030201669210534857,6.730650088237138,0.4265481810608164,0.07349722339492741,5.803595855163362,0.7291666666666666,0.8886756238003839,Tunm Knob,0.4918032786885246,Horns Rev I,0.6245161290322581,True,True,farm_dominated_or_too_few_farms
capacity_band,3_to_4_9_mw,capacity_band,203,2331,5,34,2072.333333333333,24204.166666666668,371.0,626.6666666666666,1153.0,1848.6666666666665,0.17902525333762268,0.02589085901187812,6.914612344669217,0.5563776741193502,0.07637803408504044,7.284524677603917,0.26108374384236455,0.8455598455598455,Anholt,0.5363881401617251,Butendiek,0.18670212765957447,True,True,farm_dominated_or_too_few_farms
capacity_band,5_to_7_9_mw,capacity_band,130,1476,2,30,743.3333333333334,10925.333333333332,245.0,514.0,1053.0,1317.0,0.3295964125560538,0.04704661947766659,7.005740608260194,1.416591928251121,0.12054552111300953,11.751510260784292,0.38461538461538464,0.8224932249322493,Wikinger,0.6571428571428571,Gode Wind 1 and 2,0.2140077821011673,True,True,farm_dominated_or_too_few_farms
capacity_band,8_to_9_9_mw,capacity_band,149,1015,3,22,227.99999999999997,3306.5833333333335,224.0,140.0,444.0,460.16666666666663,0.9824561403508774,0.04233977670808236,23.204093567251466,1.9473684210526319,0.13916681367978023,13.993051716578664,0.4899328859060403,0.90935960591133,Kriegers Flak,0.8883928571428571,Horns Rev III,0.35,True,True,farm_dominated_or_too_few_farms
capacity_band,lt_3_mw,capacity_band,273,327,8,8,3944.0,4716.25,892.5,417.0,1735.0,1116.5,0.22629310344827586,0.08841770474423535,2.5593641466137433,0.43990872210953347,0.23673469387755103,1.8582351192557878,0.20512820512820512,0.599388379204893,Lillgrund,0.3014005602240896,Horns Rev I,0.580335731414868,True,True,farm_dominated_or_too_few_farms
age_band,0_to_2_years,age_band,77,539,2,9,18.0,211.91666666666669,25.0,62.5,86.0,197.66666666666666,1.3888888888888888,0.29492725127801805,4.70925925925926,4.777777777777778,0.9327565867086117,5.1222128536631075,0.8181818181818182,0.9294990723562152,Arcadis Ost 1,1.0,Vesterhav Syd,0.512,True,False,farm_dominated_or_too_few_farms
age_band,15_plus_years,age_band,261,865,8,21,3799.583333333333,12586.5,834.5,527.3333333333334,1537.0,1347.8333333333333,0.21962934532295209,0.04189674121744197,5.242158195146656,0.4045180392586907,0.10708563407884109,3.7775192044982147,0.2222222222222222,0.7514450867052023,Lillgrund,0.32234871180347513,Horns Rev I,0.458912768647282,False,True,usable_controlled_contrast
age_band,3_to_7_years,age_band,202,1668,3,30,953.3333333333333,7266.666666666666,444.0,214.0,1411.0,652.0,0.4657342657342658,0.029449541284403673,15.814652637082544,1.4800699300699303,0.08972477064220184,16.49566690977734,0.297029702970297,0.9220623501199041,Kriegers Flak,0.44819819819819817,Trianel Windpark Borkum 2,0.3014018691588785,False,True,usable_controlled_contrast
age_band,8_to_14_years,age_band,215,2483,4,39,2216.75,23228.25,429.0,895.8333333333333,1351.0,2547.833333333333,0.19352655915191158,0.038566544330000466,5.017990657808808,0.6094507725273486,0.10968683966004038,5.556279809102526,0.2372093023255814,0.8131292790978655,Anholt,0.46386946386946387,Butendiek,0.1306046511627907,False,True,usable_controlled_contrast
country,Denmark,country_group,399,273,10,7,4529.833333333333,2927.25,964.5,482.0,2117.0,1360.0,0.21292174105007544,0.16465966350670425,1.2931020051635547,0.46734611280768246,0.4645998804338543,1.0059109622913887,0.21553884711779447,0.3992673992673993,Rodsand II,0.248315189217211,Horns Rev I,0.5020746887966805,True,True,farm_dominated_or_too_few_farms
country,Germany,country_group,308,1329,6,24,1737.8333333333335,10135.666666666668,499.0,1039.3333333333333,1958.0,3057.5,0.2871391579553083,0.10254217778800932,2.800205380355055,1.1266903231993861,0.3016575130726477,3.734998381850503,0.4577922077922078,0.5996990218209179,EnBW Windpark Baltic 2,0.3306613226452906,Butendiek,0.11257216164207827,False,True,usable_controlled_contrast
OEM_capacity,Adwen | 5_to_7_9_mw,oem_group+capacity_band,70,126,1,3,408.33333333333326,1145.4999999999995,161.0,62.5,719.0,222.5,0.39428571428571435,0.054561326931471,7.226468571428569,1.7608163265306125,0.19423832387603673,9.065236413666588,0.34285714285714286,0.6825396825396826,Wikinger,1.0,Global Tech I,0.608,True,True,farm_dominated_or_too_few_farms
OEM_capacity,Siemens | 3_to_4_9_mw,oem_group+capacity_band,194,1651,3,22,1940.2499999999998,16869.25,365.0,587.6666666666666,1145.0,1777.1666666666665,0.18812008761757507,0.03483656159382703,5.400076213345624,0.5901301378688314,0.10534947710577924,5.601642780592958,0.25257731958762886,0.803755299818292,Anholt,0.5452054794520548,Butendiek,0.1990924560408395,True,True,farm_dominated_or_too_few_farms
OEM_capacity,Siemens | 5_to_7_9_mw,oem_group+capacity_band,60,420,1,8,334.99999999999994,3012.666666666667,84.0,131.0,334.0,257.5,0.25074626865671645,0.04348307147599026,5.766526147886523,0.9970149253731345,0.08547244965700375,11.664751968313775,0.43333333333333335,0.8809523809523809,Arkona-Becken Südost,1.0,Gode Wind 1 and 2,0.8396946564885496,True,True,farm_dominated_or_too_few_farms
